Rider,Lap,LapTime,Sector1,Sector2,Sector3,Sector4,TireType,Weather,TrackTemp
藤田,1,2:27.027,38.432,39.315,37.049,32.231,KR410,Dry,39.3
藤田,2,2:24.802,36.534,38.833,37.181,32.254,KR410,Dry,39.3
藤田,3,2:24.672,36.333,39.351,37.758,31.230,KR410,Dry,39.3
藤田,4,2:24.788,36.032,39.347,37.784,31.625,KR410,Dry,39.3
藤田,5,2:21.376,36.043,38.212,36.284,30.837,KR410,Dry,39.3
藤田,6,2:21.016,36.003,37.917,36.281,30.815,KR410,Dry,39.3
藤田,8,2:29.215,43.132,38.432,36.519,31.132,KR410,Dry,39.3
藤田,9,2:22.138,35.788,38.794,36.433,31.123,KR410,Dry,39.3
藤田,10,2:21.866,36.570,38.178,36.291,30.827,KR410,Dry,39.3
藤田,11,2:20.694,35.387,38.062,36.503,30.742,KR410,Dry,39.3
藤田,12,2:20.650,35.377,37.954,36.414,30.905,KR410,Dry,39.3
藤田,13,2:20.696,35.509,38.000,36.388,30.799,KR410,Dry,39.3
藤田,14,2:21.435,35.520,38.038,35.915,31.962,KR410,Dry,39.3
藤田,15,2:22.502,36.301,38.300,36.332,31.569,KR410,Dry,39.3
藤田,16,2:21.151,36.006,38.229,35.948,30.968,KR410,Dry,39.3
藤田,17,2:23.667,37.084,39.088,36.508,30.987,KR410,Dry,39.3
藤田,18,2:21.264,35.572,38.007,36.105,31.580,KR410,Dry,39.3
藤田,19,2:31.267,42.631,39.586,37.299,31.751,KR410,Dry,39.3
藤田,20,2:25.756,37.221,39.489,37.279,31.767,KR410,Dry,39.3
藤田,21,2:26.529,36.706,39.008,37.118,33.697,KR410,Dry,39.3
藤田,22,2:23.601,36.716,38.756,36.721,31.408,KR410,Dry,39.3
藤田,23,2:22.927,36.336,38.424,36.687,31.480,KR410,Dry,39.3
藤田,24,2:22.870,36.143,38.776,36.896,31.055,KR410,Dry,39.3
藤田,25,2:21.754,36.017,38.322,36.321,31.094,KR410,Dry,39.3
國川,1,2:21.329,35.886,38.612,36.087,30.744,KR410,Dry,39.3
國川,2,2:19.335,35.084,38.248,35.833,30.170,KR410,Dry,39.3
國川,3,2:18.715,35.609,37.493,35.575,30.038,KR410,Dry,39.3
國川,4,2:16.988,34.696,36.950,35.541,29.801,KR410,Dry,39.3
國川,5,2:20.122,36.559,37.310,36.078,30.175,KR410,Dry,39.3
長田,1,2:46.477,49.519,42.513,39.767,34.678,KR410,Dry,39.3
長田,2,2:37.098,39.936,42.843,39.676,34.643,KR410,Dry,39.3
長田,3,2:37.267,40.298,42.783,39.283,34.903,KR410,Dry,39.3
長田,4,2:36.918,40.000,42.930,38.968,35.020,KR410,Dry,39.3
長田,5,2:37.403,39.913,42.991,39.273,35.226,KR410,Dry,39.3
長田,6,2:38.278,40.318,43.927,39.313,34.720,KR410,Dry,39.3
長田,7,2:36.393,39.832,42.609,39.045,34.907,KR410,Dry,39.3
長田,8,2:37.108,40.203,42.574,39.915,34.416,KR410,Dry,39.3
長田,9,2:37.961,40.503,42.753,39.373,35.332,KR410,Dry,39.3
長田,10,2:35.377,40.244,42.685,38.785,33.663,KR410,Dry,39.3
長田,11,2:37.355,40.415,43.185,38.994,34.761,KR410,Dry,39.3
長田,12,2:35.508,39.463,42.381,39.080,34.584,KR410,Dry,39.3
長田,13,2:35.432,39.111,42.373,39.598,34.350,KR410,Dry,39.3
長田,14,2:33.652,39.086,42.118,38.490,33.958,KR410,Dry,39.3
長田,15,2:34.385,39.081,42.227,38.408,34.669,KR410,Dry,39.3
長田,16,2:34.546,39.362,42.604,38.675,33.905,KR410,Dry,39.3
長田,17,2:33.763,39.478,41.528,38.655,34.102,KR410,Dry,39.3
